id_departamento,nombre_departamento,latitud,longitud,area_km2
PE01,Amazonas,-6.2294,-77.8728,39249.1
PE02,Ancash,-9.5261,-77.5288,35914.4
PE03,Apurimac,-13.6339,-72.8814,20895.8
PE04,Arequipa,-16.409,-71.5375,63345.4
PE05,Ayacucho,-13.1588,-74.2239,43814.8
PE06,Cajamarca,-7.1638,-78.5003,33317.5
PE07,Callao,-12.0566,-77.1181,146.9
PE08,Cusco,-13.532,-71.9675,71986.5
PE09,Huancavelica,-12.7873,-74.9726,22131.5
PE10,Huanuco,-9.9306,-76.2422,36848.9
PE11,Ica,-14.0678,-75.7286,21327.8
PE12,Junin,-11.1582,-75.9931,44197.2
PE13,La Libertad,-8.116,-79.006,25500.0
PE14,Lambayeque,-6.7011,-79.9062,14231.3
PE15,Lima,-12.0464,-77.0428,34801.6
PE16,Loreto,-3.7496,-73.2538,368852.0
PE17,Madre de Dios,-12.5933,-69.1891,85300.5
PE18,Moquegua,-17.1983,-70.9357,15734.3
PE19,Pasco,-10.6675,-76.2567,25319.6
PE20,Piura,-5.1945,-80.6328,35892.5
PE21,Puno,-15.8402,-70.0219,71999.0
PE22,San Martin,-6.4851,-76.3725,51253.3
PE23,Tacna,-18.0117,-70.2536,16075.9
PE24,Tumbes,-3.5669,-80.4515,4669.2
PE25,Ucayali,-8.3791,-74.5539,102410.6
