id_periodo,anio,numero_semana,fecha_inicio,fecha_fin
1,2000,1,2000-01-02,2000-01-08
2,2000,2,2000-01-09,2000-01-15
3,2000,3,2000-01-16,2000-01-22
4,2000,4,2000-01-23,2000-01-29
5,2000,5,2000-01-30,2000-02-05
6,2000,6,2000-02-06,2000-02-12
7,2000,7,2000-02-13,2000-02-19
8,2000,8,2000-02-20,2000-02-26
9,2000,9,2000-02-27,2000-03-04
10,2000,10,2000-03-05,2000-03-11
11,2000,11,2000-03-12,2000-03-18
12,2000,12,2000-03-19,2000-03-25
13,2000,13,2000-03-26,2000-04-01
14,2000,14,2000-04-02,2000-04-08
15,2000,15,2000-04-09,2000-04-15
16,2000,16,2000-04-16,2000-04-22
17,2000,17,2000-04-23,2000-04-29
18,2000,18,2000-04-30,2000-05-06
19,2000,19,2000-05-07,2000-05-13
20,2000,20,2000-05-14,2000-05-20
21,2000,21,2000-05-21,2000-05-27
22,2000,22,2000-05-28,2000-06-03
23,2000,23,2000-06-04,2000-06-10
24,2000,24,2000-06-11,2000-06-17
25,2000,25,2000-06-18,2000-06-24
26,2000,26,2000-06-25,2000-07-01
27,2000,27,2000-07-02,2000-07-08
28,2000,28,2000-07-09,2000-07-15
29,2000,29,2000-07-16,2000-07-22
30,2000,30,2000-07-23,2000-07-29
31,2000,31,2000-07-30,2000-08-05
32,2000,32,2000-08-06,2000-08-12
33,2000,33,2000-08-13,2000-08-19
34,2000,34,2000-08-20,2000-08-26
35,2000,35,2000-08-27,2000-09-02
36,2000,36,2000-09-03,2000-09-09
37,2000,37,2000-09-10,2000-09-16
38,2000,38,2000-09-17,2000-09-23
39,2000,39,2000-09-24,2000-09-30
40,2000,40,2000-10-01,2000-10-07
41,2000,41,2000-10-08,2000-10-14
42,2000,42,2000-10-15,2000-10-21
43,2000,43,2000-10-22,2000-10-28
44,2000,44,2000-10-29,2000-11-04
45,2000,45,2000-11-05,2000-11-11
46,2000,46,2000-11-12,2000-11-18
47,2000,47,2000-11-19,2000-11-25
48,2000,48,2000-11-26,2000-12-02
49,2000,49,2000-12-03,2000-12-09
50,2000,50,2000-12-10,2000-12-16
51,2000,51,2000-12-17,2000-12-23
52,2000,52,2000-12-24,2000-12-30
53,2000,53,2000-12-31,2001-01-06
54,2001,1,2001-01-07,2001-01-13
55,2001,2,2001-01-14,2001-01-20
56,2001,3,2001-01-21,2001-01-27
57,2001,4,2001-01-28,2001-02-03
58,2001,5,2001-02-04,2001-02-10
59,2001,6,2001-02-11,2001-02-17
60,2001,7,2001-02-18,2001-02-24
61,2001,8,2001-02-25,2001-03-03
62,2001,9,2001-03-04,2001-03-10
63,2001,10,2001-03-11,2001-03-17
64,2001,11,2001-03-18,2001-03-24
65,2001,12,2001-03-25,2001-03-31
66,2001,13,2001-04-01,2001-04-07
67,2001,14,2001-04-08,2001-04-14
68,2001,15,2001-04-15,2001-04-21
69,2001,16,2001-04-22,2001-04-28
70,2001,17,2001-04-29,2001-05-05
71,2001,18,2001-05-06,2001-05-12
72,2001,19,2001-05-13,2001-05-19
73,2001,20,2001-05-20,2001-05-26
74,2001,21,2001-05-27,2001-06-02
